Flipper;🎯 Skillshot (wo?);🎯Eröffnungsstrategie ;🎮 Modus (welchen wählen?);📍 Modus starten (wo?);🔒 Lock qualifizieren (wie?);🔒 Ball locken (wo?);🎯 Multiball starten;🔘 Action-Button;🔄 Alternative;⚠️ Gefährlicher Schuss;💡 Tipp
Riverboat Gambler;Skillshot: Ball in die beleuchtete obere Skillshot-Lane schießen, um Bonus oder Light Lock zu erhalten.;Poker-Feature aufbauen → Riverboat Multiball qualifizieren → 2 Bälle locken → Multiball → Jackpots über Rampen und Orbits sammeln.;Riverboat- und Poker-Fortschritt erzielen, bis LOCK leuchtet.;Riverboat Scoop (Schaufelrad-Dampfer links oben) – 2 physische Locks.;Nach dem 2. Lock startet Riverboat Multiball über den Riverboat Scoop.;Center Scoop – Fehlschüsse kommen häufig gerade zurück auf die Flipper und können zum SDTM führen.;Im Matchplay möglichst schnell den ersten Multiball holen. Poker-Features nur mitnehmen, wenn sie auf dem Weg liegen – der frühe Multiball ist deutlich wertvoller.;;;;
Police Force;Skillshot: obere Rollovers treffen und Bonus-X erhöhen.;Crime-Fight-Targets abschließen → Multiball vorbereiten → Jackpots über die Rampen sammeln.;Mittlere Standup-Targets vervollständigen, um Multiball freizuschalten.;Kein klassischer Ball-Lock (virtueller Multiball).;Über den beleuchteten Center Scoop.;Mittlere Targetbank – harte Rückpraller laufen häufig direkt zwischen die Flipper.;Konzentriere dich auf die mittleren Targets und die Rampen. Bonus und Multiball bringen im Turnier deutlich mehr als riskante Einzelziele.;;;;
Dr. Dude;Skillshot: obere Skillshot-Lane treffen.;Mix-Master (Center Toy) treffen → Dude-O-Meter aufbauen → Big Shot aktivieren → Jackpot über den Big Shot sammeln.;Kein klassischer Multiball vorhanden.;–;–;Mix-Master (rotierende Scheibe in der Mitte) – Fehlschüsse springen oft unkontrolliert zurück.;Ziel ist der Big Shot. Die fünf Persönlichkeitstests möglichst sicher abschließen und riskante Mittelschüsse vermeiden, wenn der Ball unkontrolliert läuft.;;;;
Mousin' Around!;Skillshot: obere Rollovers treffen und Bonus erhöhen.;Mauslöcher treffen → Cheese Factory aufbauen → Multiball starten → Jackpots sammeln.;Mehrere Treffer auf die Mauslöcher qualifizieren den Multiball.;Mouse Hole (oben links) – physischer Ball-Lock.;Nach dem erforderlichen Lock über das Mouse Hole.;Mouse Hole – Fehlschüsse kommen häufig schnell auf den rechten Flipper zurück.;Im Matchplay früh den Multiball spielen. Die Mauslöcher sind wichtiger als Nebenfeatures oder Bonusziele.;;;;
Banzai Run;Skillshot: obere Rollovers treffen.;Upper Playfield (oberes Spielfeld) erreichen → Rampen abschließen → Banzai Multiball vorbereiten → Jackpots sammeln.;Rampen und oberes Spielfeld erfolgreich abschließen.;Kein klassischer Ball-Lock (virtueller Multiball).;Nach erfolgreichem Abschluss des Upper-Playfield-Ziels.;Lift Ramp zum oberen Spielfeld – Fehlschüsse kommen oft hart auf den rechten Flipper zurück.;Das obere Spielfeld ist sicherer und wertvoller. Möglichst häufig nach oben spielen und dort Fortschritt machen, statt lange auf dem unteren Spielfeld zu bleiben.;;;;
Twister;Skillshot: beleuchtete Top-Lane treffen.;Storm Chaser starten → Twister Multiball vorbereiten → 2 Locks sammeln → Multiball → Jackpots über den Cyclone Shot sammeln.;Storm-Targets und Rampen abschließen, bis LOCK leuchtet.;Twister Lock (Cyclone-Scoop links oben) – 2 physische Locks.;Nach dem 2. Lock über den Cyclone Scoop.;Cyclone Shot (mittlerer Wirbel) – Fehlschüsse können direkt zwischen die Flipper zurückprallen.;Im Matchplay früh den Twister Multiball starten. Storm-Chaser-Modi möglichst mit dem Multiball kombinieren und den mittleren Wirbel nur aus kontrollierter Balllage schießen.;;;;
Hook;Skillshot: obere Skillshot-Lane treffen oder den beleuchteten Rampen-Award wählen.;Hook Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über die Rampen → Rufio später angehen.;HOOK bzw. entsprechende Rampen- und Targettreffer vervollständigen, bis LOCK leuchtet.;Captain Hook's Ship (Schiff links oben) – 3 physische Locks.;Nach dem 3. Lock startet Hook Multiball automatisch.;Captain Hook Ship – Fehlschüsse kommen oft hart auf den rechten Flipper oder Richtung Outlane zurück.;Im Matchplay den ersten Hook Multiball priorisieren. Die Rampen sind wesentlich sicherer als riskante Schüsse in die Mitte. Rufio- und Nebenmodi erst nach dem ersten Multiball spielen.;;;;
Lethal Weapon 3;Skillshot: Beleuchtete obere Skillshot-Lane treffen. Beste Awards sind Light Lock oder Bonus X.;Drug Bust oder Video Mode starten → Lethal Weapon Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über die Rampen → anschließend Super Jackpot am Center Shot.;Rampen und Hauptziele treffen, bis LOCK leuchtet. Insgesamt 3 Locks erforderlich.;Police Station (linke Rampe links oben, 3 physische Locks).;Nach dem 3. Lock startet Lethal Weapon Multiball automatisch.;Police Station Ramp – Fehlschüsse kommen häufig hart auf den rechten Flipper zurück und können Richtung Outlane laufen.;Im Matchplay möglichst früh den ersten Multiball spielen. Video Mode und Nebenfeatures nur mitnehmen, wenn sie sich ohne Umweg ergeben. Die linke Rampe ist der wichtigste Schuss des Spiels.;;;;
Tales from the Crypt;Skillshot: Beleuchtete Top-Lane treffen. Beste Awards sind Light Lock oder Bonus X.;Crypt Modes starten → Crypt Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über Rampen und Orbits → danach Tales weiterspielen.;Durch Rampen, Modes und Hauptshots LOCK qualifizieren. Insgesamt 3 Locks erforderlich.;Crypt Scoop (Gruft links oben, 3 physische Locks).;Nach dem 3. Lock über den Crypt Scoop.;Crypt Scoop – Fehlschüsse können direkt zur Spielfeldmitte zurückprallen und SDTM verursachen.;Im Matchplay ist der erste Crypt Multiball das Hauptziel. Modi möglichst kurz vor dem Multiball starten und beide kombinieren.;;;;
Tommy;Skillshot: Beleuchtete obere Skillshot-Lane treffen oder den Mirror Award wählen.;Mirror treffen → Pinball Wizard Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über Mirror und Rampen → anschließend Vacation Camp.;Durch Treffer auf den Mirror und Spielprogress werden 3 Locks freigeschaltet.;Mirror Lock (Spiegel in der Spielfeldmitte, 3 physische Locks).;Nach dem 3. Lock über den Mirror Shot.;Mirror (Center Shot) – Fehlschüsse prallen häufig direkt zwischen die Flipper zurück.;Möglichst schnell Pinball Wizard Multiball erreichen. Der Mirror ist zwar riskant, aber der schnellste Weg zu hohen Turnierpunkten.;;;;
Batman (Data East);Skillshot: Beleuchtete obere Lane treffen. Beste Wahl ist Light Lock oder Bonus X.;Batcave treffen → Batcave Multiball vorbereiten → 2 Locks sammeln → Multiball → Jackpots über die Rampen → Joker und Axis später angehen.;Treffer auf Batcave und Hauptziele qualifizieren die Locks. Insgesamt 2 Locks erforderlich.;Batcave (linkes Scoop, 2 physische Locks).;Nach dem 2. Lock über die Batcave.;Batcave Scoop – Fehlschüsse kommen häufig schnell auf den rechten Flipper zurück.;Im Matchplay direkt auf Batcave und Multiball spielen. Die Film-Modi sind nett, bringen aber weniger als ein früher Multiball.;;;;
RollerCoaster Tycoon;Skillshot: Beleuchtete Top-Lane treffen. Beste Awards sind Light Lock oder Park Award.;Ride Modes starten → Coaster Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über die Coaster Ramp → anschließend Park-Wizard aufbauen.;Durch Ride-Fortschritt werden 3 Locks qualifiziert.;Roller Coaster Ramp (linke Achterbahnrampe, 3 virtuelle Locks).;Nach dem 3. Lock über die Coaster Ramp.;Coaster Ramp – Fehlschüsse laufen oft schnell zur rechten Flipperseite zurück.;Im Matchplay möglichst früh Coaster Multiball starten. Ride-Modi direkt vor dem Multiball beginnen und zusammen spielen.;;;;
Playboy (Stern, 2002);Skillshot: Beleuchtete Top-Lane treffen. Super Skillshot: direkt den Center Playboy Bunny Shot treffen.;Centerfold Mode starten → Centerfold Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über Rampen und Bunny Shot → Mansion später aufbauen.;Durch Bunny-Shot und Hauptziele werden 3 Locks qualifiziert.;Playboy Mansion (Center Scoop, 3 virtuelle Locks).;Nach dem 3. Lock über den Mansion Scoop.;Center Bunny Shot – Fehlschüsse prallen häufig hart zwischen die Flipper zurück und können zum SDTM führen.;Im Matchplay den ersten Centerfold Multiball priorisieren. Einen Centerfold-Mode möglichst direkt vor dem Multiball starten und beide stacken. Die Mansion-Features sind eher Ziele für längere Spiele.;;;;
Tales from the Crypt;Skillshot: Beleuchtete obere Skillshot-Lane treffen. Beste Awards sind Light Lock oder Bonus X.;Crypt Tale (Mode) starten → Crypt Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über Rampen und Orbits → danach weitere Tales spielen.;Durch Rampen, Tales und Hauptshots wird LOCK qualifiziert. Insgesamt 3 Locks erforderlich.;Crypt Scoop (Gruft links oben unter dem Crypt Keeper, 3 physische Locks).;Nach dem 3. Lock über den beleuchteten Crypt Scoop startet Crypt Multiball.;Crypt Scoop – Fehlschüsse aus der Mitte können direkt zwischen die Flipper zurückprallen oder hart auf den rechten Flipper laufen.;Im Matchplay ist der erste Crypt Multiball das wichtigste Ziel. Einen Tale-Mode möglichst direkt vor dem Multiball starten und beide zusammen spielen.;;;;
Tommy;Skillshot: Beleuchtete obere Skillshot-Lane treffen oder den Mirror Award wählen.;Mirror treffen → Pinball Wizard Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über den Mirror und die Rampen → anschließend Vacation Camp oder Wizard Modes.;Wiederholt den Mirror (großer Spiegel in der Spielfeldmitte) treffen, bis jeweils ein Lock freigeschaltet wird. Insgesamt 3 Locks erforderlich.;Mirror Lock (großer Spiegel in der Spielfeldmitte, 3 physische Locks).;Nach dem 3. Lock erneut den Mirror treffen, um Pinball Wizard Multiball zu starten.;Mirror Shot – Der zentrale Spiegel wirft Fehlschüsse häufig gerade zwischen die Flipper (SDTM).;Im Matchplay schnell den ersten Multiball holen. Der Mirror ist riskant, aber der effizienteste Weg zu hohen Punkten. Vacation Camp und Blind-Modes erst danach verfolgen.;;;;
Batman (Data East);Skillshot: Beleuchtete obere Skillshot-Lane treffen. Beste Awards sind Light Lock oder Bonus X.;Batcave treffen → Batcave Multiball vorbereiten → 2 Locks sammeln → Multiball → Jackpots über Rampen und Orbits → anschließend Joker- und Axis-Features.;Wiederholt die Batcave treffen, bis LOCK leuchtet. Insgesamt 2 Locks erforderlich.;Batcave Scoop (linke obere Höhle unter dem Batmobil, 2 physische Locks).;Nach dem 2. Lock erneut in die Batcave schießen, um den Multiball zu starten.;Batcave Scoop – Fehlschüsse laufen häufig schnell zum rechten Flipper und können Richtung Outlane abprallen.;Im Matchplay konsequent auf die Batcave spielen. Film-Features und Joker erst nach dem ersten Multiball angehen.;;;;
RollerCoaster Tycoon;Skillshot: Beleuchtete obere Skillshot-Lane treffen. Gute Awards sind Light Lock oder Park Award.;Ride Mode starten → Coaster Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über die Achterbahnrampe → danach Park-Fortschritt.;Durch abgeschlossene Rides und Rampentreffer werden 3 Locks freigeschaltet.;Roller Coaster Ramp (große linke Achterbahnrampe mit Ball-Lift, 3 virtuelle Locks).;Nach dem 3. Lock erneut die Coaster Ramp treffen.;Coaster Ramp – Fehlschüsse laufen schnell auf den rechten Flipper zurück und können schwer kontrollierbar sein.;Ride-Modus möglichst direkt vor dem Multiball starten. Der erste Coaster Multiball bringt in kurzen Turnieren die zuverlässigsten Punkte.;;;;
Playboy (Stern, 2002);Skillshot: Beleuchtete Top-Lane treffen. Super Skillshot: direkt den Center Bunny Shot (Playboy Bunny in der Mitte) treffen.;Centerfold Mode starten → Centerfold Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über Rampen und Bunny Shot → danach Mansion-Features.;Bunny-Shot, Rampen und Hauptziele treffen, bis 3 Locks qualifiziert sind.;Playboy Mansion Scoop (Center Scoop unter dem Playboy Bunny, 3 virtuelle Locks).;Nach dem 3. Lock über den Mansion Scoop.;Center Bunny Shot – Fehlschüsse vom mittleren Bunny prallen häufig direkt zwischen die Flipper zurück (SDTM).;Centerfold Mode möglichst direkt vor dem Multiball starten. Mansion-Features sind eher etwas für längere Spiele – im Matchplay zählt der frühe Multiball.;;;;
Seawitch;Skillshot: Kein klassischer Skillshot. Den Abschuss möglichst so timen, dass die oberen Rollovers für Bonus und Bonus-X getroffen werden.;S-E-A Drop-Targets vervollständigen → Bonus-X erhöhen → Spinner bei Beleuchtung spielen → anschließend den Saucer für hohe Wertungen treffen.;Kein Multiball / keine Locks.;–;–;Mittlere Drop-Target-Bank (S-E-A) – Harte Abpraller können direkt zur Spielfeldmitte oder auf die Slingshots zurückspringen.;Im Matchplay zuerst Bonus-X und die S-E-A-Targets aufbauen. Den beleuchteten Spinner regelmäßig nutzen und Specials oder Replay-Lampen ignorieren. Ballkontrolle bringt auf Seawitch deutlich mehr als aggressive Einzelpunkte.;;;;
Quicksilver;Kein klassischer Skillshot. Den Abschuss möglichst so steuern, dass die oberen Rollovers für Bonus und Bonus-X getroffen werden.;Q-U-I-C-K-S-I-L-V-E-R über die Drop-Targets vervollständigen → Spinner aufwerten → Bonus-X erhöhen → hohe Spinner-Wertungen sammeln.;Kein Multiball / keine Locks.;–;–;Mittlere Drop-Target-Bank – Fehlschüsse können hart zur Spielfeldmitte oder auf die Slingshots zurückspringen.;Im Matchplay zuerst die Drop-Targets abschließen, um den Spinner aufzuwerten. Danach möglichst nur den beleuchteten Spinner spielen. Replay- und Special-Lampen ignorieren – Bonus-X und Ballkontrolle sind wichtiger.;;;;
Big Game;Kein klassischer Skillshot. Den Ball möglichst über die oberen Rollovers laufen lassen, um Bonus und Multiplikator aufzubauen.;A-B-C-D-E Drop-Targets vervollständigen → Spinner aufwerten → Bonus-X erhöhen → beleuchteten Spinner wiederholt treffen.;Kein Multiball / keine Locks.;–;–;A-B-C-D-E Drop-Targets (Mitte) – Harte Rückpraller können direkt zwischen die Flipper oder auf die Slingshots laufen.;Im Matchplay haben Bonus-X und der beleuchtete Spinner höchste Priorität. Specials und Replay-Ziele ignorieren und lieber sichere Spinner-Schüsse spielen.;;;;
Cheetah;Kein klassischer Skillshot. Den Abschuss möglichst auf die oberen Rollovers lenken, um Bonus und Bonus-X zu erhöhen.;Drop-Targets vervollständigen → Bonus-X erhöhen → Spinner bei Beleuchtung spielen → Bonus sichern.;Kein Multiball / keine Locks.;–;–;Mittlere Drop-Targets – Fehlschüsse können unkontrolliert zur Spielfeldmitte oder auf die Slingshots zurückspringen.;Bonus-X möglichst früh maximieren und anschließend den Spinner konsequent nutzen. Replay und Special bringen im Turnier nichts – Ballkontrolle ist entscheidend.;;;;
Devil's Dare;Kein klassischer Skillshot. Den Ball kontrolliert über die oberen Rollovers schicken, um Bonus und Multiplikator aufzubauen.;Oberes Spielfeld erreichen → Targets und Spinner abschließen → Bonus-X erhöhen → obere Features wiederholt spielen.;Kein klassischer Multiball / keine Locks.;–;–;Rampe zum oberen Spielfeld – Fehlschüsse kommen häufig schnell auf den rechten Flipper zurück.;Das obere Spielfeld ist deutlich sicherer und punkteträchtiger. Gute Spieler versuchen möglichst oft nach oben zu gelangen und dort Bonus aufzubauen, statt riskante Mittelschüsse zu erzwingen.;;;;
Panthera;Kein klassischer Skillshot. Den Abschuss so timen, dass möglichst die oberen Rollovers getroffen werden.;Drop-Targets vervollständigen → Bonus-X erhöhen → beleuchteten Spinner spielen → Bonus sichern.;Kein Multiball / keine Locks.;–;–;Mittlere Drop-Target-Bank – Fehlschüsse können direkt zwischen die Flipper oder auf die Slingshots zurückprallen.;Im Matchplay stehen Bonus-X und Spinner klar im Vordergrund. Specials und Replay-Lampen ignorieren. Erst Bonus aufbauen, dann den beleuchteten Spinner wiederholt spielen.;;;;
Torch;Kein klassischer Skillshot. Den Abschuss möglichst so steuern, dass die oberen Rollovers für Bonus und Bonus-X getroffen werden.;T-O-R-C-H-Targets vervollständigen → Bonus-X erhöhen → Spinner bei Beleuchtung spielen → Bonus sichern.;Kein Multiball / keine Locks.;–;–;Mittlere T-O-R-C-H-Targets – Fehlschüsse können direkt auf die Slingshots oder zwischen die Flipper zurückprallen.;Im Matchplay zuerst den Bonus-X aufbauen und danach konsequent den beleuchteten Spinner nutzen. Replay- und Special-Lampen ignorieren – Ballkontrolle ist deutlich wichtiger.;;;;
Counterforce;Kein klassischer Skillshot. Den Ball kontrolliert über die oberen Rollovers laufen lassen, um Bonus und Multiplikator zu erhöhen.;Linke und rechte Drop-Target-Bänke vervollständigen → Bonus-X erhöhen → Spinner und Saucer für hohe Wertungen nutzen → Bonus sichern.;Kein Multiball / keine Locks.;–;–;Mittlere Drop-Target-Bänke – Harte Abpraller können schnell zwischen die Flipper oder auf die Slingshots zurücklaufen.;Im Matchplay stehen Bonus-X und Drop-Targets im Vordergrund. Den Saucer nur aus kontrollierter Balllage schießen und Specials ignorieren.;;;;
Volcano;Kein klassischer Skillshot. Den Abschuss möglichst auf die oberen Rollovers lenken, um Bonus und Multiplikator aufzubauen.;Volcano (Vulkan links oben) treffen → Bonus-X erhöhen → Spinner aufwerten → Volcano regelmäßig für hohe Wertungen spielen.;Kein Multiball / keine Locks.;–;–;Volcano Scoop (Krater links oben) – Kickouts können unvorhersehbar auf den rechten Flipper oder Richtung Outlane zurückkommen.;Im Matchplay zunächst Bonus-X erhöhen und danach den Volcano gezielt spielen. Riskante Schüsse aus schlechter Ballkontrolle vermeiden – der Kickout kann gefährlich sein.;;;;
